url,label
https://arts.nycu.edu.tw/sign-up/,1
https://www.cet-taiwan.org/node/3582,0
https://www.nlpi.edu.tw/ActivitiesDetailC001100.aspx?Cond=f07973a7-dc1d-49a6-a163-d5d0fc77036b,0
https://arts.nycu.edu.tw/performing-arts/performing-programs/,1
https://www.typl.gov.tw/ja,0
https://www.nlpi.edu.tw/ReaderService/AccessibilityServiceArea/AccessibilityServiceArea02.htm,0
https://arts.nycu.edu.tw/visual-arts/gallery/,1
https://www.ntm.gov.tw/content_176.html,0
http://www.youtube.com/channel/UCo_x2VVvUnDksj6Rn9hIlRA,0
https://arts.nycu.edu.tw/visual-arts/arts-curio-cabinets/,1
https://www.facebook.com/ASIAMOMA,0
https://www.nlpi.edu.tw/AboutUs/HelpUs/AboutDonation,0
https://arts.nycu.edu.tw/visual-arts/art-space/,1
https://www.kmseh.gov.tw/14_other/03_calendar.php?thedate=2023-04-19,0
https://www.library.ntpc.gov.tw/htmlcnt/toQueryAllHtmlContents/fbc3f7d645c94d92b3f7898ea9f13dbe,0
https://arts.nycu.edu.tw/activities/national-award-for-arts-lectures-series/,1
https://www.ntm.gov.tw/content_172.html,0
https://arts.nycu.edu.tw/person-policy/,0
https://arts.nycu.edu.tw/activities/walkintostudio/,1
https://www.nlpi.edu.tw/ActivityInfoDetailC001200.aspx?Cond=3de25418-c392-4dff-91b5-ed55fe4c248b,0
https://www.cksmh.gov.tw/downloadfilelist_358.html,0
https://arts.nycu.edu.tw/activities/cultural-travel/,1
https://www.cet-taiwan.org/info/news/4268,0
https://www.library.ntpc.gov.tw/newbook/70,0
https://arts.nycu.edu.tw/activities/art-course/,1
https://serv.nstm.gov.tw/Bulletin_Show?id=35a54665cc,0
https://www.typl.gov.tw/zh-tw/News/636,0
https://arts.nycu.edu.tw/news/,1
https://www.artcenter.ntpc.gov.tw/submenu?usein=5&psid=0G312724847431863441,0
https://market.cloud.edu.tw/,0
https://asiamodern.asia.edu.tw/zh_tw/news/1,1
https://www.kmseh.gov.tw/14_other/03_calendar.php?thedate=2023-04-24,0
https://www.library.ntpc.gov.tw/menu/menulist/293dae169da04bda88c56dea2e63e699,0
https://asiamodern.asia.edu.tw/zh_tw/exhibition/now,1
https://www.hsinchu.gov.tw/cp.aspx?n=135,0
https://www.typl.gov.tw/zh-tw/Other/Bilingual,0
https://asiamodern.asia.edu.tw/zh_tw/exhibition/future,1
https://www.typl.gov.tw/zh-tw/About/Library,0
https://www.ntm.gov.tw/informationlist_249.html,0
https://asiamodern.asia.edu.tw/zh_tw/news/2,1
https://www.nlpi.edu.tw/Information/SpaceFacilities/Librarytour1.htm,0
https://yii.tw/events/13157,0
https://asiamodern.asia.edu.tw/zh_tw/learn,1
https://www.forest.gov.tw/,0
https://www.cksmh.gov.tw/qa_89.html,0
https://asiamodern.asia.edu.tw/zh_tw/learn/muse,1
https://spaceme.typl.gov.tw/,0
https://www.nlpi.edu.tw/FileUploadCategoryListC006410.aspx?CategoryID=7898f438-260f-4a1b-b33c-4469784c9281,0
https://asiamodern.asia.edu.tw/zh_tw/learn/workshop,1
